,sentences
21210,"My husband hav 20 million sperm count, 60% motility, please answer my question mam."
21220,"If you still do not conceive after 3 months of trying in the above manner,it would be advisable to further evuate which we can discuss the options later."
21234,But please don't be disheartened if sometimes no cause is found which happens quite a lot of times.
21237,"As per your LMP, you are exactly 6wks pregnant today, so try to get a scan to check if this is a viable pregnancy and also for dating and localisation of pregnancy, so that if viable we can start with progesterone support in the form of oral progesterone supplements to sustain this pregancy."
21283,I have a mole on the thigh and is slightly itchy.
21300,Is there any treatment to have these veins removed?
21377,It can happen at any age from a number of different causes.
21385,It seems you are suffering from muscle problems passing through the spine.
21401,X-ray for the wrist joint.
21415,Ultrasound abdomen and pelvis (in case on any abnormal bleeding pattern).
21462,How much delayed are your periods?
21517,Your drinking history?
21583,"When your pain is severe, take a painkiller of NSAID (non-steroidal anti-inflammatory drugs) group."
21667,"I started a new job a couple of months ago, I am going through a divorce, and I have health issues pertaining to a brain surgery I had two years ago."
21673,(This is the normal time I would have gotten it months ago) now again a week later I am bleeding.
21717,I went to see my primary care doctor and they gave me some iron pills to be taken for three months which are over the counter called Ferrous Sulfate.
21732,But there are also other causes as hematoma.
21753,Though I got the attacks they were not scary.
21829,She believes in different sociology and culture.
21978,"Also, it is not an allergy."
22000,"Recently, I was diagnosed to have IBS with diarrhea."
22022,We look forward to getting your input.
22026,"My mother, who had a stroke from a blow injury (heavy fall and hit the back of her head) to the lower back of her head before nine months, is still having headaches on physical exertion, especially at work."
22056,I had a miscarriage before 5 years.
22066,I have been diagnosed with atrial flutter.
22173,IBS.
22213,I've been suffering from TMJ for a long time and I had left it untreated for long.
22220,"I have some slight anxiety, and I've had Major Depressive Disorder in the past, but now I'm doing much better on Zoloft 50mg, with limited symptoms now."
22312,"We need above workup so we can calculate scores how early, he will need it."
22331,He keeps walking up and only a bottle can soothe him.
22337,So to put him to sleep follow these steps.
22366,"While active disease, you may use oral anti-allergics like Levocetirizine 5 mg once daily in the night time for a week."
22370,"As per the description, you are suffering from pericoronitis."
22451,"A few weeks later, I found a small swelling under my left armpit and there were three to four small red bumps in that arm as well."
22476,"Many years ago, she suffered from increased perspiration during night, from the child."
22501,Generalized sweating is mostly due to an underlying systemic illness or as a side effect of medication while focal sweating is generally due to a neurologic disorder or primary hyperhidrosis.
22543,"I was diagnosed with PCOS last year and according to the doctor's prescription, I have been taking contraceptive pills since then."
22546,I also did the pregnancy check which came as negative.
22578,How much was the bleeding?
22582,Did you use earbuds or put any other object in your ear?
22674,"As you said, it is very obvious that symptoms recur in your home town but never appeared in other places where you stayed."
22708,My front lower teeth have become extremely sensitive and I have very severe pain in them.
22740,For permanent solution.
22836,Is beta blood hCG test (quantitative) done post 12 days of missed periods considered as accurate?
22839,"Based on the present hCG levels, it suggests that you are not pregnant at present (or today), as beta hCG level is quite low."
22859,I’ve had some exams done recently and found out I have an inflamed supraspinatus tendon.
22994,You have used steroid creams and a lot of antibiotics.
23008,"It also feels a little dry if that makes sense, and it is worse when I workout with open mouth breathing."
23079,I advise you for a complete deep scaling and root planning as soon as things get better in your area.
23136,I am going to start her on empirical treatment (see prescription) for three days so that she gets herself investigated meanwhile and relieved of her symptoms.
23265,Is there any hearing loss or ringing sound inside the ear or fullness of the ear during this giddiness?
23462,If you have any history other than the above issue or if you have positive answer to any of the questions mentioned above then please do not take this treatment and immediately take the opinion from a doctor.
23465,I would like to consult about the chest and back pain that i am feeling lately.
23524,My present problem is I am feeling terribly weak .
23538,usually post op antibiotics drop (vigamox) are prescribed for 4-6 weeks so you can continue vigamox 2-3 times a day till 6 weeks.
23561,"Eat fairly healthy, have healthy habits."
23565,Feeling dizzy with feeling off balance).
23621,I searched online and it says that this much amount of fat removal from one surgery is not healthy.
23730,"Before I have the only fear of suffocation and inclosed space like jet, lift, etc."
23737,The symptoms you are experiencing are part of panic attack.
23748,Thought diary or journaling will be also helpful for analyzing and restructuring of thoughts (underlying cause) of the problem.
23754,I will advise some treatment and hope that it will help out.
23761,After my third time my hair became really dry and curly also there is a lot of hair fall while shampooing.Please let me know whether i can make my hair better
23885,"If it is safe to wait, how long should I give it?"
24005,I don’t know what else it could be Hello I have now had ringing in my ears lasting for four 1 week what does this mean is this a risk for stroke.
24029,It is a case of pericoronitis.
24053,Excision biopsy.
24084,Just going as I feel comfortable.
